stop_lat,stop_lon,stop_name,road,direction,geohash
54.5878,-5.84715,"Gilnahirk Road, Kingsway Park",Gilnahirk Road,Outbound,gceydcqhzx2y
54.5878,-5.84715,"Gilnahirk Road, Kingsway Park",Gilnahirk Road,Inbound,gceydcqhzx2y
54.5761,-6.01932,"Glen Road, Glencolin",Glen Road,Outbound,gcewrp2bgdmt
54.5761,-6.01954,"Glen Road, Glencolin",Glen Road,Inbound,gcewrp28yd3t
54.5809,-5.99295,"Glen Road, St Teresa's",Glen Road,Outbound,gcewx8hhf1hw
54.5809,-5.99067,"Glen Road, St Teresa's",Glen Road,Inbound,gcewx8jsz30w
54.6214,-5.98484,"Glencairn, Forthriver Road",Forthriver Road,Outbound,gcewxz9bxngy
54.6214,-5.98484,"Glencairn, Forthriver Road",Forthriver Road,Inbound,gcewxz9bxngy
54.669746,-5.956543,"Glengormley, Centre",,Outbound,gcez02qd67r9
54.67025,-5.957572,"Glengormley, Centre",,Inbound,gcez02mv6922
54.6767,-5.96865,"Glengormley, Northcott Link Road",Northcott Link Road,Outbound,gcez01tfb7eg
54.6767,-5.96858,"Glengormley, Northcott Link Road",Northcott Link Road,Inbound,gcez01tff585
54.681625,-5.910714,"Glenville, Monkstown Avenue",,Outbound,gcez16rzw3sn
54.681625,-5.910714,"Glenville, Monkstown Avenue",,Inbound,gcez16rzw3sn
54.651448,-5.928047,"Gunnell Hill, Bus stop",Whitewell Road,Outbound,gceychgrf2rc
54.6004536,-5.9257829,"High Street, Skipper Street",City Centre,Outbound,gcey95syxq20
54.66678,-5.969062,"Hightown Road, Turning Circle",,Outbound,gceybpv3nf2u
54.66678,-5.969062,"Hightown Road, Turning Circle",,Inbound,gceybpv3nf2u
54.6228,-5.86055,"Holywood Exchange, Ikea",,Outbound,gceydxu2z7cj
54.6228,-5.86055,"Holywood Exchange, Ikea",,Inbound,gceydxu2z7cj
54.626858,-5.857975,"Holywood Exchange, Sainsburys",,Outbound,gceyf8w2e23h
54.626858,-5.857975,"Holywood Exchange, Sainsburys",,Inbound,gceyf8w2e23h
54.598167,-5.8876,"Holywood Rd, Arches Heatlh Centre",,Outbound,gceyd52c2up0
54.6182,-5.85304,"Holywood Rd, Knocknagoney Ave",KnocknagoneyRoad,Outbound,gceydycyn63j
54.6182,-5.85304,"Holywood Rd, Knocknagoney Ave",KnocknagoneyRoad,Inbound,gceydycyn63j
54.60121,-5.878218,"Holywood Rd, Park Avenue",,Outbound,gceyd5ze5e6b
